X,中文示例,英文示例,解释
%a,周日,Sun,星期几的缩写
%A,星期日,Sunday,星期几的全拼
%b,十月,Oct,月份缩写
%B,十月,October,月份全称
%c,周日 十月  1, Sun Oct  1,日期时刻全称
  ,10:30:59 2017,  10:30:59 2017,
%C,20,20,世纪
%d,1,1,日（0补位）
%D,10/1/2017,10/1/2017,日/月/年
%F,2017-1-10,2017-1-10,年-月-日
%H,10,10,时（00-23）
%I,10,10,时（00-12）
%j,274,274,一年的第几天
%m,10,10,月
%M,30,30,分
%p,上午,AM,上下午
%r,10:30:59 上午,10:30:59 AM,12小时制时刻
%R,10:30,10:30,24小时制时刻
%S,59,59,秒
%T,10:30:59,10:30:59,时刻
%u,7,7,星期几（周日为7）
%U,40,40,年中第几周
%V,39,39,年中第几周（ISO8601）
%w,0,0,星期几（周日为0）
%y,17,17,年份后两位
%Y,2017,2017,年份四位
%Z,GMT,GMT,时区
